BO-ireland-new1,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec1,bo-new-ireland-ike1,10.3.248.1,,,ipaddr,10.3.248.1,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new2,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec2,bo-new-ireland-ike2,10.3.248.2,,,ipaddr,10.3.248.2,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new3,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec3,bo-new-ireland-ike3,10.3.248.3,,,ipaddr,10.3.248.3,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new4,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec4,bo-new-ireland-ike4,10.3.248.4,,,ipaddr,10.3.248.4,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new5,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec5,bo-new-ireland-ike5,10.3.248.5,,,ipaddr,10.3.248.5,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new6,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec6,bo-new-ireland-ike6,10.3.248.6,,,ipaddr,10.3.248.6,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new7,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec7,bo-new-ireland-ike7,10.3.248.7,,,ipaddr,10.3.248.7,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new8,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec8,bo-new-ireland-ike8,10.3.248.8,,,ipaddr,10.3.248.8,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new9,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec9,bo-new-ireland-ike9,10.3.248.9,,,ipaddr,10.3.248.9,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new10,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec10,bo-new-ireland-ike10,10.3.248.10,,,ipaddr,10.3.248.10,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new11,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec11,bo-new-ireland-ike11,10.3.248.11,,,ipaddr,10.3.248.11,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new12,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec12,bo-new-ireland-ike12,10.3.248.12,,,ipaddr,10.3.248.12,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new13,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec13,bo-new-ireland-ike13,10.3.248.13,,,ipaddr,10.3.248.13,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new14,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec14,bo-new-ireland-ike14,10.3.248.14,,,ipaddr,10.3.248.14,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new15,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec15,bo-new-ireland-ike15,10.3.248.15,,,ipaddr,10.3.248.15,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new16,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec16,bo-new-ireland-ike16,10.3.248.16,,,ipaddr,10.3.248.16,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new17,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec17,bo-new-ireland-ike17,10.3.248.17,,,ipaddr,10.3.248.17,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new18,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec18,bo-new-ireland-ike18,10.3.248.18,,,ipaddr,10.3.248.18,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new19,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec19,bo-new-ireland-ike19,10.3.248.19,,,ipaddr,10.3.248.19,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new20,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec20,bo-new-ireland-ike20,10.3.248.20,,,ipaddr,10.3.248.20,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new21,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec21,bo-new-ireland-ike21,10.3.248.21,,,ipaddr,10.3.248.21,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new22,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec22,bo-new-ireland-ike22,10.3.248.22,,,ipaddr,10.3.248.22,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new23,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec23,bo-new-ireland-ike23,10.3.248.23,,,ipaddr,10.3.248.23,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new24,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec24,bo-new-ireland-ike24,10.3.248.24,,,ipaddr,10.3.248.24,192.168.3.6/32,,no,,,,,,,,,
BO-ireland-new25,10 Mbps,EU (Ireland),192.168.7.0/24,bo-ireland-new-ipsec25,bo-new-ireland-ike25,10.3.248.25,,,ipaddr,10.3.248.25,192.168.3.6/32,,no,,,,,,,,,
